at,bo,ch,cl,da,kc,mi,ny,ph,ri,sf,sl,su,fed_rate
0.18518518518518517,-0.3548387096774194,-0.64,-0.3103448275862069,-0.3953488372093023,-0.19047619047619047,-0.13636363636363635,-0.391304347826087,-0.7142857142857143,-0.6521739130434783,-0.3333333333333333,-0.2903225806451613,-0.3793103448275862,10.25
-0.2571428571428571,-0.5135135135135135,-0.5609756097560976,-0.5,-0.45454545454545453,0.02857142857142857,-0.7575757575757576,-0.6428571428571429,-0.9166666666666666,-0.6756756756756757,-0.39622641509433965,-0.25,-0.803921568627451,10.25
-0.35714285714285715,-0.4838709677419355,-0.6756756756756757,-0.42105263157894735,-0.15384615384615385,-0.22580645161290322,-0.14893617021276595,-0.5416666666666666,-0.8666666666666667,-0.44680851063829785,-0.627906976744186,-0.21739130434782608,-0.6956521739130435,10.25
-0.5172413793103449,-0.08333333333333333,-0.2777777777777778,-0.4666666666666667,-0.8378378378378378,-0.4827586206896552,-0.2727272727272727,-0.16666666666666666,-0.391304347826087,-0.14285714285714285,-0.7575757575757576,-0.40540540540540543,-0.4857142857142857,10.25
-0.5909090909090909,-0.3684210526315789,-0.2,-0.4838709677419355,-0.2222222222222222,0.0,-0.18181818181818182,-0.125,-0.14285714285714285,-0.09090909090909091,-0.15151515151515152,-0.35714285714285715,-0.4782608695652174,10.25
-0.7647058823529411,-0.5625,-0.3333333333333333,-0.0967741935483871,-0.5,-0.37777777777777777,-0.6296296296296297,-0.6111111111111112,-0.6666666666666666,-0.2857142857142857,-0.1111111111111111,-0.125,-0.16666666666666666,10.25
-0.28205128205128205,-0.3333333333333333,-0.4146341463414634,-0.391304347826087,-0.14285714285714285,-0.38461538461538464,0.0,-0.2413793103448276,-0.5,-0.2,-0.35714285714285715,-0.13333333333333333,-0.23404255319148937,10.25
-0.3023255813953488,-0.5625,-0.5151515151515151,0.07692307692307693,0.02857142857142857,-0.125,-0.2857142857142857,-0.4074074074074074,-0.696969696969697,-0.0625,-0.48148148148148145,-0.3333333333333333,-0.4594594594594595,10.25
-0.2,0.0,-0.1111111111111111,-0.04,-0.6296296296296297,-0.5,-0.3333333333333333,0.09090909090909091,-0.4782608695652174,-0.21951219512195122,-0.30434782608695654,-0.28,-0.3333333333333333,10.25
-0.1111111111111111,-0.2631578947368421,-0.5,-0.3333333333333333,-0.16666666666666666,0.18518518518518517,-0.6190476190476191,-0.2,-0.17647058823529413,-0.15151515151515152,-0.36363636363636365,-0.23809523809523808,-0.52,10.25
-0.18181818181818182,-0.47619047619047616,-0.625,-0.42857142857142855,-0.6,0.0967741935483871,-0.05263157894736842,-0.2727272727272727,-0.25,0.5625,-0.25925925925925924,-0.36,-0.3333333333333333,10.25
0.0,-0.6666666666666666,-0.3142857142857143,-0.12,-0.3,0.024390243902439025,0.07142857142857142,0.2857142857142857,-0.07692307692307693,0.35294117647058826,-0.28888888888888886,-0.24324324324324326,-0.48148148148148145,10.25
