date
1970-01-15
1970-02-10
1970-03-10
1970-04-07
1970-05-05
1970-05-26
1970-06-23
1970-07-21
1970-08-18
1970-09-15
1970-10-20
1970-11-17
1970-12-15
1971-01-12
1971-02-09
1971-03-09
1971-04-06
1971-05-11
1971-06-08
1971-06-29
1971-07-27
1971-08-24
1971-09-21
1971-10-19
1971-11-16
1971-12-14
1972-01-11
1972-02-14
1972-02-15
1972-03-21
1972-04-17
1972-04-18
1972-05-23
1972-06-19
1972-07-18
1972-08-15
1972-09-19
1972-10-17
1972-11-20
1972-12-19
1973-01-16
1973-02-13
1973-03-07
1973-03-19
1973-04-17
1973-05-15
1973-06-18
1973-07-09
1973-07-17
1973-08-21
1973-09-18
1973-10-02
1973-10-10
1973-10-16
1973-11-19
1973-12-17
1974-01-21
1974-02-20
1974-03-18
1974-04-15
1974-05-21
1974-06-18
1974-07-05
1974-07-16
1974-08-20
1974-09-10
1974-10-14
1974-11-19
1974-12-16
1975-01-20
1975-02-19
1975-03-18
1975-04-14
1975-05-20
1975-06-16
1975-07-15
1975-08-19
1975-09-16
1975-10-21
1975-11-18
1975-12-16
1976-01-20
1976-02-17
1976-03-15
1976-03-29
1976-04-20
1976-05-18
1976-06-22
1976-07-19
1976-08-17
1976-09-21
1976-10-19
1976-11-08
1976-11-16
1976-12-20
1977-01-17
1977-02-15
1977-03-15
1977-04-19
1977-05-17
1977-05-27
1977-06-21
1977-07-19
1977-08-16
1977-09-20
1977-10-17
1977-11-15
1977-12-19
1978-01-05
1978-01-17
1978-02-28
1978-03-10
1978-03-21
1978-04-18
1978-05-05
1978-05-16
1978-06-20
1978-07-18
1978-08-15
1978-09-08
1978-09-19
1978-10-17
1978-11-21
1978-12-19
1979-01-12
1979-02-06
1979-03-02
1979-03-20
1979-04-17
1979-04-27
1979-05-22
1979-06-27
1979-07-11
1979-07-17
1979-07-19
1979-08-14
1979-09-18
1979-10-05
1979-10-06
1979-10-22
1979-11-20
1980-01-08
1980-02-04
1980-02-22
1980-03-07
1980-03-18
1980-04-22
1980-04-29
1980-05-06
1980-05-20
1980-06-05
1980-07-09
1980-07-25
1980-08-12
1980-08-22
1980-09-16
1980-10-21
1980-11-18
1980-11-26
1980-12-05
1980-12-12
1980-12-18
1981-02-02
1981-02-24
1981-03-31
1981-04-28
1981-05-06
1981-05-18
1981-06-17
1981-07-06
1981-07-17
1981-08-07
1981-08-18
1981-10-05
1981-11-17
1981-12-21
1982-02-01
1982-03-29
1982-05-18
1982-05-20
1982-06-30
1982-07-15
1982-08-24
1982-09-24
1982-10-05
1982-11-16
1982-12-20
1983-01-14
1983-01-21
1983-01-28
1983-02-08
1983-03-28
1983-04-29
1983-05-24
1983-06-23
1983-07-12
1983-08-23
1983-09-08
1983-10-04
1983-11-14
1983-12-19
1984-01-30
1984-01-31
1984-03-20
1984-03-26
1984-05-21
1984-07-16
1984-08-21
1984-10-02
1984-11-07
1984-12-17
1985-01-18
1985-02-12
1985-03-26
1985-05-21
1985-07-09
1985-08-20
1985-09-23
1985-10-01
1985-11-04
1985-12-16
1986-02-11
1986-04-01
1986-04-21
1986-05-20
1986-07-08
1986-08-19
1986-09-23
1986-11-05
1986-12-15
1987-02-10
1987-02-11
1987-02-23
1987-03-31
1987-04-29
1987-05-19
1987-07-07
1987-08-18
1987-09-22
1987-10-19
1987-10-20
1987-10-21
1987-11-03
1987-12-15
1988-01-05
1988-02-09
1988-03-29
1988-05-17
1988-06-29
1988-07-19
1988-08-16
1988-09-20
1988-10-17
1988-11-01
1988-11-22
1988-12-13
1989-02-07
1989-03-28
1989-05-16
1989-05-31
1989-06-05
1989-07-05
1989-07-26
1989-08-22
