at,bo,ch,cl,da,kc,mi,ny,ph,ri,sf,sl,su,fed_rate
-0.07616477729067057,-0.9505614963574174,-0.9753167973210315,-0.9681599614855227,-0.019190669594040085,-0.9621792926063657,-0.9606078678184341,-0.44267424854040277,-0.9587757351498732,-0.968030993466497,-0.9107948979274065,-0.8990713859679295,-0.9749088224865827,10.25
-0.8997512618711226,-0.9052669148762977,-0.9410708924964383,-0.9432940001859599,-0.9773159495626771,0.0803772330012815,-0.9819360768116596,-0.4606249263565841,-0.9662214184821452,-0.9609632291923875,-0.9572044787158293,-0.9147623090792043,-0.9661285129281604,10.25
0.0024934028229414247,-0.5401779407939675,-0.9766428115357757,-0.9625477644554258,-0.22156116630105818,-0.9025668051871755,-0.972912352891853,-0.7995900523414076,0.11351445861352191,-0.9583646316381319,-0.43477346431886804,-0.9196469315318332,-0.9639732333313364,10.25
-0.9311820483695289,-0.36959688737484836,-0.9134156460691524,-0.9227999759072999,-0.9566406129319789,-0.9630192984015462,-0.9356458972038931,-0.044426194744196554,-0.9342409821250293,-0.9329286231135105,-0.9727827339739297,-0.8494489368608871,-0.9685533545404644,10.25
-0.9248245036673937,-0.9089144393011797,-0.9394950169267279,-0.8982781153738219,-0.7984484066653772,-0.6801106086620446,-0.9250978977923787,-0.5023834435816557,-0.9724511465267048,-0.7926509304900331,-0.6662517993796778,-0.9730528434782811,-0.9033885913410528,10.25
-0.9770316995944526,-0.4835489690388165,-0.9246013416858212,-0.6082183825145058,-0.37312788451783896,-0.8465635648041738,-0.9740756336061606,-0.8930998248250671,-0.9590695636952783,-0.9291973087129973,-0.9150434900668571,-0.031519418823471194,-0.5980078699425787,10.25
-0.9302526011958235,-0.7670888415235367,-0.9726084257774477,-0.9044364090200563,-0.674210073533475,-0.907045780472036,-0.9649585621584391,-0.94670628349326,-0.9541481282743157,-0.9700481527304435,-0.748551047731567,-0.9513307417979351,-0.9661912007853067,10.25
-0.8704843063676301,-0.9476795092505367,-0.9687503342522878,0.009370449627101858,-0.228719347447302,-0.16036194794082828,-0.9566050511292103,-0.290055548074099,-0.9729195606828867,-0.9731577606859624,-0.9201788706535304,-0.41988477320748907,-0.44495698319271265,10.25
-0.780768839700796,-0.8578856903119844,-0.8999911627549187,-0.05702268819855343,0.06851091287607206,-0.9203629558156053,-0.9594173891323057,-0.9191550757450427,-0.626826079091597,-0.9333702204413272,-0.7014993348062313,-0.04356592889320874,-0.23701941552301964,10.25
-0.7028761359697406,-0.9595704281684146,-0.9633339755315586,-0.393137398845981,-0.575995389258876,-0.33213393192677937,-0.9600956868615843,-0.8866218960359454,-0.5944551626204246,-0.9409938255693473,-0.9617335733598699,-0.5451794093530916,-0.966718850434318,10.25
